timestamp,game_id,round,entrant1_id,entrant1_name,entrant1_armor,entrant1_weapon,entrant1_damage,entrant2_id,entrant2_name,entrant2_armor,entrant2_weapon,entrant2_damage,winner_id,winner_name
2026-04-21 16:00:11,1935ca3e-c524-47af-93ec-39cb71007ace,4,3,Juan,Iron Gauntlets,Shortsword,3,5,Marcus,Leather,Piano,0,3,Juan
2026-04-21 16:00:11,1935ca3e-c524-47af-93ec-39cb71007ace,5,3,Juan,Iron Gauntlets,Shortsword,5,5,Marcus,Leather,Piano,14,5,Marcus
2026-04-21 16:00:12,1935ca3e-c524-47af-93ec-39cb71007ace,6,3,Juan,Iron Gauntlets,Shortsword,7,5,Marcus,Leather,Piano,0,3,Juan
2026-04-21 16:00:12,1935ca3e-c524-47af-93ec-39cb71007ace,7,3,Juan,Iron Gauntlets,Shortsword,6,5,Marcus,Leather,Piano,17,5,Marcus
2026-04-21 16:00:12,1935ca3e-c524-47af-93ec-39cb71007ace,8,3,Juan,Iron Gauntlets,Shortsword,1,5,Marcus,Leather,Piano,15,5,Marcus
2026-04-21 16:00:15,57e88c8f-e679-4e13-9de6-10fd50149388,1,5,Marcus,Scale,Piano,16,4,Charlie,Chainmail,Club,0,5,Marcus
2026-04-21 16:00:15,57e88c8f-e679-4e13-9de6-10fd50149388,2,5,Marcus,Scale,Piano,3,4,Charlie,Chainmail,Club,5,4,Charlie
2026-04-21 16:00:15,57e88c8f-e679-4e13-9de6-10fd50149388,3,5,Marcus,Scale,Piano,25,4,Charlie,Chainmail,Club,0,5,Marcus
2026-04-21 16:00:16,57e88c8f-e679-4e13-9de6-10fd50149388,4,5,Marcus,Scale,Piano,9,4,Charlie,Chainmail,Club,0,5,Marcus
2026-04-21 16:00:16,57e88c8f-e679-4e13-9de6-10fd50149388,5,5,Marcus,Scale,Piano,0,4,Charlie,Chainmail,Club,5,4,Charlie
2026-04-21 16:00:16,57e88c8f-e679-4e13-9de6-10fd50149388,6,5,Marcus,Scale,Piano,21,4,Charlie,Chainmail,Club,9,5,Marcus
2026-04-21 16:00:16,57e88c8f-e679-4e13-9de6-10fd50149388,7,5,Marcus,Scale,Piano,13,4,Charlie,Chainmail,Club,2,5,Marcus
2026-04-21 16:00:17,57e88c8f-e679-4e13-9de6-10fd50149388,8,5,Marcus,Scale,Piano,6,4,Charlie,Chainmail,Club,2,5,Marcus
2026-04-21 16:00:17,57e88c8f-e679-4e13-9de6-10fd50149388,9,5,Marcus,Scale,Piano,6,4,Charlie,Chainmail,Club,0,5,Marcus
2026-04-21 16:00:17,57e88c8f-e679-4e13-9de6-10fd50149388,10,5,Marcus,Scale,Piano,0,4,Charlie,Chainmail,Club,3,4,Charlie
2026-04-21 16:00:17,57e88c8f-e679-4e13-9de6-10fd50149388,11,5,Marcus,Scale,Piano,21,4,Charlie,Chainmail,Club,0,5,Marcus
2026-04-21 16:00:20,904a768c-b4d9-42b2-81ab-9e91452dd93f,1,5,Marcus,Chainmail,Club,6,1,Raymond,Steel Shield,Shortsword,11,1,Raymond
2026-04-21 16:00:20,904a768c-b4d9-42b2-81ab-9e91452dd93f,2,5,Marcus,Chainmail,Club,1,1,Raymond,Steel Shield,Shortsword,6,1,Raymond
2026-04-21 16:00:21,904a768c-b4d9-42b2-81ab-9e91452dd93f,3,5,Marcus,Chainmail,Club,0,1,Raymond,Steel Shield,Shortsword,0,5,Marcus
2026-04-21 16:00:21,904a768c-b4d9-42b2-81ab-9e91452dd93f,4,5,Marcus,Chainmail,Club,2,1,Raymond,Steel Shield,Shortsword,3,1,Raymond
2026-04-21 16:00:21,904a768c-b4d9-42b2-81ab-9e91452dd93f,5,5,Marcus,Chainmail,Club,5,1,Raymond,Steel Shield,Shortsword,11,1,Raymond
2026-04-21 16:00:21,904a768c-b4d9-42b2-81ab-9e91452dd93f,6,5,Marcus,Chainmail,Club,5,1,Raymond,Steel Shield,Shortsword,9,1,Raymond
2026-04-21 16:00:22,904a768c-b4d9-42b2-81ab-9e91452dd93f,7,5,Marcus,Chainmail,Club,8,1,Raymond,Steel Shield,Shortsword,0,5,Marcus
